idx,words,lid
0,['11:11' '.....' 'make' 'a' 'wish' '.......' 'night' 'night'],['other' 'other' 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'lang1']
1,['@YiseBabee' 'i' 'wish' 'i' 'could' 'be' 'ignorant'],['other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1']
2,['Bout' 'to' 'get' 'my' 'Fat' 'ON'],['lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1']
3,"['Me' 'encantaria' 'que' 'me' 'vieras' ',' 'de' 'la' 'manera' 'que' 'yo'
 'te' 'veo' '#OneDay']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang1']"
4,"['@CalvaryArlCC' 'Do' 'you' 'guys' 'have' 'a' 'spanish' 'department' 'or'
 'services' '???']","['other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'other']"
5,"['Going' 'asleep' 'with' 'papi' ""'s"" 'music' 'on' 'skype' ',' 'even'
 'thoe' 'our' 'call' 'hang' 'up' '#Priceless' '#DistanceDontMatter']","['lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'ne' 'other'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1']"
6,"['Lets' 'have' 'a' 'date' 'me' 'and' 'you' 'for' 'ever' 'and' 'ever' '😍😘'
 '#NeverAlone']","['lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'other' 'lang1']"
7,"['Good' 'Night' 'World' 'y' ""'all"" 'be' 'blessed']",['lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1']
8,['Good' 'Afternoon' 'World'],['lang1' 'lang1' 'lang1']
9,['@Liberty316' 'Ur' 'B-Day' 'was' 'yesterday' 'too' 'fam' '!?'],['other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other']
10,"['Good' 'Morning' 'World' 'y' ""'all"" 'be' 'blessed']",['lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1']
11,"['same' '🙍' '“' '@larki__' ':' 'All' 'my' 'friends' 'are' 'with' 'their'
 'boos' 'so' 'I' 'have' 'no' 'one' 'to' 'talk' 'to' '#5everalone' '🙍' '”']","['lang1' 'other' 'other' 'other' 'other' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'other' 'other']"
12,"['👀👀' '“' '@manito_jesse' ':' '@larki__' '@kiragarciaa' 'Kira' 'never'
 'says' 'that' '😏' '”']","['other' 'other' 'other' 'other' 'other' 'other' 'ne' 'lang1' 'lang1'
 'lang1' 'other' 'other']"
13,"['Oh' '😯😐' '“' '@larki__' ':' '😴😴😴' 'RT' '@manito_jesse' ':' 'larki__'
 '@kiragarciaa' 'randy' 'can' 'make' 'yours' '😭😭' '”']","['lang1' 'other' 'other' 'other' 'other' 'other' 'lang1' 'other' 'other'
 'lang1' 'other' 'ne' 'lang1' 'lang1' 'lang1' 'other' 'other']"
14,['@larki__' '@manito_jesse' '😭😭😭' 'sorry' 'boo'],['other' 'other' 'other' 'lang1' 'unk']
